id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1171633,Near MTR Welcome for short/longterm,4584648,Ivy,,Central & Western,22.28528,114.15186,Private room,180,31,2,2015-08-16,0.02,384,365,0,
1182474,"Kowloon Mongkok 1812 Twin Room A, near station",6361579,Man Ching Athena,,Yau Tsim Mong,22.31585,114.16888,Private room,193,2,101,2019-01-04,1.35,12,35,0,
1184163,Spacious Studio Apartment Near Causeway Bay [1],6315448,Lauli15,,Wan Chai,22.28086,114.18526,Entire home/apt,636,90,2,2019-10-19,0.02,6,365,0,
1184289,Spacious Studio Apartment Near Causeway Bay [2],6315448,Lauli15,,Wan Chai,22.28046,114.18528,Entire home/apt,636,90,3,2018-12-23,0.03,6,365,0,
1187498,Nice room in Sheung Wan,4584648,Ivy,,Central & Western,22.28564,114.14785,Private room,180,30,2,2013-07-23,0.02,384,365,0,
1187557,The cheaper room! Near with HKU!!!!,4584648,Ivy,,Central & Western,22.28266,114.12864,Private room,180,30,0,,,384,364,0,
1187738,Furnished Studio in western HK,4584648,Ivy,,Sham Shui Po,22.33083,114.1625,Private room,217,30,0,,,384,365,0,
1187739,Bright room Welcome for short term!,4584648,Ivy,,Sham Shui Po,22.3323,114.16243,Private room,180,30,0,,,384,365,0,
1187770,ROOFTOP room ( SUPER close to MTR),4584648,Ivy,,Yau Tsim Mong,22.31447,114.17082,Private room,180,29,0,,,384,364,0,
1226450,Flat share in Sheung Wan,4584648,Ivy,,Central & Western,22.28796,114.14945,Private room,180,31,1,2016-02-28,0.01,384,364,0,
1229848,Cool Stanley Surf Style Flat best village location,6708889,Marcos,,Southern,22.21978,114.21338,Entire home/apt,1500,6,30,2018-05-01,0.32,2,365,0,
1312023,Flat share room in Yau Ma Tei,4584648,Ivy,,Yau Tsim Mong,22.31214,114.17227,Private room,180,30,0,,,384,365,0,
1345297,Modern Studio in Central/Soho!,5056201,Joyce,,Central & Western,22.28251,114.15107,Entire home/apt,780,28,1,2014-05-01,0.01,3,264,0,
1463674,charming euro style cosy home,7842633,Chu,,Wan Chai,22.27816,114.17235,Entire home/apt,1646,29,6,2013-11-01,0.06,4,365,0,
1476913,Neat Cozy Studio for 1-3 @ Wan Chai,2716535,Jade,,Wan Chai,22.27834,114.17437,Entire home/apt,564,2,9,2016-05-04,0.13,2,180,0,
1534018,Old Hong Kong charm,8178525,Lesley,,Central & Western,22.28611,114.13637,Private room,750,3,1,2014-08-18,0.01,1,270,0,
1567495,Cozy Double Rm 3 next to Jordan MTR,4048151,Stephen,,Yau Tsim Mong,22.3057,114.17191,Private room,354,1,49,2015-07-03,0.50,5,365,0,
1606207,3BedR + 3BathR @ Hennessy Road 07/F 580SF,1375696,C S,,Wan Chai,22.27794,114.16985,Entire home/apt,2083,1,23,2019-01-12,0.51,14,180,0,
1615676,New rooms for 1-14ppl in Mong Kok,8599676,Man Yuen,,Yau Tsim Mong,22.31935,114.17164,Private room,564,1,3,2013-11-04,0.03,1,365,0,
1642196,Taikoo Shing Luxury 1024 sqft High-Floor Apt,1190017,Paul,,Eastern,22.28934,114.21915,Entire home/apt,1800,28,0,,,1,351,0,
1643979,3BedR + 3BathR @ Hennessy Road 10/F 580SF,1375696,C S,,Wan Chai,22.27814,114.1701,Entire home/apt,2161,1,25,2016-12-09,0.47,14,171,0,
1697582,"7BedR + 5BathR @ Hennessy Road 09/F 1,160SF",1375696,C S,,Wan Chai,22.27651,114.16991,Entire home/apt,4702,1,39,2018-10-22,0.59,14,205,0,
1702604,"fit 12 ppl,big family, cozy",4500928,Jan,,Yau Tsim Mong,22.3171,114.17026,Entire home/apt,2257,1,7,2014-12-14,0.08,2,365,0,
1708543,Spacious studio in heart of SoHo,7456732,Patrick,,Central & Western,22.28203,114.15223,Entire home/apt,851,2,8,2014-12-06,0.08,1,81,0,
1745925,walk 30sec to Yau Ma Tei MTR Rm10,3704487,Daniel,,Yau Tsim Mong,22.31467,114.16983,Private room,2000,1,127,2015-07-09,1.35,3,365,0,
1749208,walk 30sec to Yau Ma Tei MTR Rm11,3704487,Daniel,,Yau Tsim Mong,22.31248,114.16904,Private room,1286,1,77,2016-11-21,0.82,3,365,0,
1752310,"Modern Large Studio , Heart of city",808933,J,,Wan Chai,22.27547,114.17369,Entire home/apt,603,3,127,2020-12-16,2.19,3,299,4,
1759734,Modern 1BR Apartment in Hong Kong,4339302,Andrew,,Central & Western,22.28468,114.15132,Entire home/apt,762,1,2,2014-02-01,0.02,1,295,0,
1825886,Central Mong kok Renovated Room 203,2767559,Mark,,Yau Tsim Mong,22.31727,114.16945,Private room,823,2,0,,,14,89,0,
1826133,Harbour Mong kok Renovated Room 2,2767559,Mark,,Yau Tsim Mong,22.31672,114.16796,Private room,2256,2,0,,,14,365,0,
1832930,Single bed room with green view,4031260,Jen Ai,,North,22.52314,114.18193,Private room,350,2,14,2016-12-16,0.16,2,310,0,
1835565,Central Mong kok Renovated Room 2,2767559,Mark,,Yau Tsim Mong,22.31632,114.17019,Private room,714,2,1,2015-11-01,0.01,14,90,0,
1838581,Suite 901 @ Hennessy Road 1-2 Guest,1375696,C S,,Wan Chai,22.27782,114.16992,Private room,696,1,7,2018-12-08,0.12,14,180,0,
1838603,Suite 902 @ Hennessy Road 1-3 Guest,1375696,C S,,Wan Chai,22.27685,114.17212,Private room,696,1,4,2016-12-07,0.13,14,365,0,
1838607,Suite 903 @ Hennessy Road 1-2 Guest,1375696,C S,,Wan Chai,22.27734,114.17218,Private room,627,1,21,2018-01-10,0.30,14,180,0,
1838612,Suite 904 @ Hennessy Road 1-2 Guest,1375696,C S,,Wan Chai,22.27823,114.17199,Private room,633,1,14,2016-08-21,0.28,14,180,0,
1838620,Suite 906 @ Hennessy Road 1-2 Guest,1375696,C S,,Wan Chai,22.27679,114.17162,Private room,550,1,16,2016-10-23,0.27,14,180,0,
1838624,Suite 907 @ Hennessy Road 1-2 Guest,1375696,C S,,Wan Chai,22.27653,114.17203,Private room,700,1,5,2016-05-28,0.11,14,180,0,
1849525,Harbour Mong kok Renovated Room 5,2767559,Mark,,Yau Tsim Mong,22.31707,114.16932,Private room,804,1,2,2015-10-22,0.03,14,365,0,
1849579,Harbour Mong kok Renovated Room 6,2767559,Mark,,Yau Tsim Mong,22.31768,114.16782,Private room,859,1,0,,,14,365,0,
1851862,Room in Heart of Mong Kok 2.....,2767559,Mark,,Yau Tsim Mong,22.31833,114.16965,Private room,654,1,10,2015-09-14,0.12,14,365,0,
1887852,Stunning Studio in Causeway Bay (c25c),4584648,Ivy,,Central & Western,22.27927,114.15856,Private room,217,30,2,2018-12-20,0.02,384,365,0,
1907254,TWO bedroom apartment @ W.Mid-level 西區2房單位 *近 MTR,4509858,Akiei,,Central & Western,22.28323,114.14365,Entire home/apt,1151,90,0,,,2,263,0,
1910193,FLATSHARE in North Point,4584648,Ivy,,Eastern,22.28853,114.19887,Private room,180,30,1,2015-07-25,0.01,384,365,0,
1922220,Right smack 'n Central Hong Kong!!,5181284,Peter,,Central & Western,22.28335,114.15275,Entire home/apt,647,20,89,2017-03-04,1.06,2,90,0,
1927047,HK Room for 2 persons 香港2人房間,4319967,Zen Nicholas,,Sham Shui Po,22.33641,114.16022,Private room,239,2,52,2019-01-31,0.78,3,89,0,
1932651,Opposite Langham 10s MK MTR  4ppl,10002884,Han,,Yau Tsim Mong,22.31896,114.1698,Entire home/apt,608,1,33,2015-03-29,0.57,1,90,0,
1944230,3 BR hidden gem over hideaway beach,10056448,Annie,,Islands,22.29247,114.02224,Entire home/apt,1686,10,56,2019-05-15,0.69,2,180,0,
1971970,Wan Chai  room ---- Available  !!!,4584648,Ivy,,Wan Chai,22.27695,114.17563,Private room,180,30,1,2015-01-07,0.01,384,340,0,
1980360,Exotic Village house,8541305,Yammi,,Yuen Long,22.45209,114.06649,Entire home/apt,250,2,13,2018-05-19,0.19,1,335,0,
2023516,WANCHAI  Room --  *************,4584648,Ivy,,Wan Chai,22.27705,114.17593,Private room,180,30,0,,,384,365,0,
2026068,"COZY AND CLEAN,MONG KOK,FIT 3 PPL",4500928,Jan,,Yau Tsim Mong,22.31626,114.169,Private room,600,1,0,,,2,114,0,
2039450,cozy studio G causeway bay hongkong,2767759,Alfred,,Wan Chai,22.27886,114.18557,Entire home/apt,280,32,4,2021-06-15,0.14,10,265,1,
2039863,Newly renovated Unit 5 – Explore like a local,6067974,Wilson,,Wan Chai,22.28608,114.1912,Entire home/apt,1200,28,54,2021-01-24,0.62,44,180,2,
2079554,Nice room in Shek Tong Tsui,4584648,Ivy,,Central & Western,22.28522,114.13643,Private room,180,30,1,2014-05-14,0.01,384,365,0,
2084693,Bridge and Sea view 2 bedroom Apartment w/ Balcony,10647247,Patrick,,Sha Tin,22.35852,114.14402,Entire home/apt,835,30,30,2019-04-08,0.33,1,88,0,
2118190,尖沙咀核心地帶，雙地鐵口，步行至維港3分鐘，大床房,10800424,Leslie,,Yau Tsim Mong,22.29805,114.17523,Private room,700,1,0,,,3,365,0,
2118222,尖沙咀核心地帶，雙地鐵口，步行至維港3分鐘，雙床房,10800424,Leslie,,Yau Tsim Mong,22.29787,114.17558,Private room,750,1,0,,,3,365,0,
2118400,尖沙咀核心地帶，雙地鐵口，步行至維港3分鐘，家庭房,10800424,Leslie,,Yau Tsim Mong,22.29665,114.17358,Private room,900,1,0,,,3,365,0,
2174774,标准双床房,10625315,先生,,Yau Tsim Mong,22.31987,114.17077,Private room,368,1,10,2018-11-11,0.13,10,341,0,
2180315,Deluxe Yau Ma Tei Studio,4584648,Ivy,,Yau Tsim Mong,22.31533,114.1681,Private room,217,30,0,,,384,364,0,
2184084,Stylish+Chic @Midlevel Centre St,10713209,Eric,,Central & Western,22.28143,114.14003,Entire home/apt,1944,30,20,2015-07-20,0.21,1,365,0,
2186111,香港油麻地｜3分鐘到地鐵雙人間連沙發獨立衛浴包清潔維修家具WiFi匙卡系統24CCTV非中介可長短租,10428889,Theshanghai,,Yau Tsim Mong,22.31371,114.17006,Private room,287,28,0,,,7,364,0,
2217839,Room in Fortress Hill - F4c,4584648,Ivy,,Eastern,22.28942,114.19454,Private room,180,30,1,2014-01-27,0.01,384,364,0,
2246101,3 Bedrooms (SK7) Centrally located,1452499,Sally,,Wan Chai,22.27919,114.17223,Entire home/apt,1428,3,156,2018-12-23,1.87,5,295,0,
2269506,2BR in SOHO- STAUNTON ST. 100m from ESCALATOR #1,1306308,Will,,Central & Western,22.28174,114.15413,Entire home/apt,2637,4,132,2019-12-23,1.46,1,364,0,
2272136,2 BR T.S.T. Kowloon Flat 700 sq ft,548455,Karin,,Yau Tsim Mong,22.302,114.17447,Entire home/apt,1151,2,21,2019-01-15,0.57,1,364,0,
2298810,One bedroom with its own balcony.,11741853,Phil,,Sai Kung,22.39504,114.26997,Private room,650,1,128,2020-01-29,1.51,1,201,5,
